place_id,name,rating,type,htm,latitude,longitude,description
49,Jurang Tembelan Kanigoro,4.5,Alam,0,-79.401.065,1.104.300.062,objek wisata bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian sebab jurang tembelan mangunan jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan sebelum seperti sekarang sebenarnya jurang tembelan kanigoro bantul tergolong masih sepi pengunjung lantaran baru saja dikembangkan oleh pihak pengelola wisata namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan sehingga tak lagi wisatawan lokal saja berbondong bondong kesana wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto di wisata alam jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria tak hanya itu saja pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan mangunan
50,Malioboro,4.7,Buatan,3000,-77.982.487,1.103.652.793,malioboro adalah jantung kota jogja meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan ternyata tak sedikit wisatawan dan orang lokal mendatangi malioboro pagi pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan
51,Blue Lagoon Jogja,4.3,Alam,3000,-77.044.358,11.045.026,blue lagoon jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam apabila anda melihat ke dalam kolam akan terlihat gelembung gelembung kecil yang muncul dari permukaan tanah hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut meskipun blue lagoon di jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun pemandian blue lagoon ini terletak di desa dalem widodomartani ngemplak sleman yogyakarta
52,Bundaran UGM,4.7,Buatan,0,-77.760.052,1.103.760.616,bundaran ugm merupakan gerbang masuk utama universitas gadjah mada
53,Pantai Pok Tunggal,4.5,Pantai,10000,-81.554.468,1.106.217.582,pantai pok tunggal adalah salah satu pantai populer di gunungkidul pantai ini terletak di desa tepus kecamatan tepus posisinya sejajar dan tak jauh dari pantai indrayanti dan pantai watulawang yang tak kalah populer nama pok tunggal berasal dari keberadaan pohon duras di kawasan pantai tersebut pohon jenis ini dikenal sangat sulit tumbuh di daerah pesisir karena hanya satu satunya pohon ini kemudian menjadi semacam maskot bagi pantai ini yang menjadi ciri khas pantai ini adalah bentuknya yang sempit dan memanjang di samping itu lokasinya yang dikelilingi bukit kapur dan karang menjadikan pok tunggal tampak lebih eksotis pantai ini cocok sebagai destinasi berbagai macam kegiatan rekreasi
54,Pantai Ngobaran,4.5,Pantai,5000,-81.191.333,1.105.050.409,keunikan yang menjadi ciri khas pantai ngobaran adalah adanya pura dan arca keberadaannya membuat sekilas pantai ngobaran memiliki suasana khas yang mirip dengan pulau bali satu keunikan yang kemungkinan besar tersembunyi dari kebanyakan wisatawan adalah adanya sumber air tawar di tepi laut namun aliran air tawar hanya bisa ditemukan ketika air laut sedang surut satu sajian spesial yang bisa didapatkan di pantai ngobaran adalah landak laut atau bulu babi kuliner ini bisa dipesan di warung warung yang ada di sekitar pantai bagian landak laut yang dimakan adalah dagingnya
55,Bukit Panguk Kediwung,4.5,Alam,3000,-79.583.695,1.104.407.622,bukit panguk kediwung berlokasi di kediwung mangunan dlingo bantul yogyakarta jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk kurang lebih berjarak km dari pusat kota yogyakarta dari pusat kota yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah jalan imogiri timur ikuti jalan hingga menemukan pasar imogiri lalu belok kiri dan lanjutkan perjalanan menuju ke arah dlingo dari sana anda akan mulai melihat petunjuk jalan menuju bukit panguk kediwung akses jalan menuju bukit panguk kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit salah satu yang menjadi magnet bagi pengunjung untuk datang adalah keindahan pemandangan alamnya pengelola sudah menyediakan beberapa gardu pandang terbuat dari kayu dan bambu yang sengaja dibangun menjorok ke arah bibir tebing sehingga pengunjung bisa melihat dengan jelas pemandangan di bawah bukit panguk kediwung yang eksotis dari atas kita bisa melihat aliran panjang sungai oya yang membelah bukita hijau yang menghampar hijau gardu pandang ini bukan gardu pandang biasa karena memiliki bentuk bentuk yang unik karena sekaligus jadi spot foto ada yang berbentuk jembatan memanjang bentuk sayap kupu kupu bentuk kereta kuda dan masih banyak lagi gardu pandang dengan bentuk biasa juga tersedia gardu pandang di puncak bukit penguk kediwung ini terbagi dalam dua bagian yaitu bagian timur dan selatan gardu pandang bagian timur sangat cocok untuk menikmati matahari terbit di pagi hari sedangkan gardu pandang sebelah selatan menghadap ke pegunungan yang berjajar kedua spot sama sama menyuguhkan pemandangan yang luar biasa dan tidak boleh anda lewatkan ketika liburan di yogyakarta
56,Kebun Teh Nglinggo,4.5,Agrowisata,10000,-7.647.054,1.101.414.699,wisata kebun teh nglinggo adalah satu satunya kebun teh yang berada di yogyakarta sebenarnya kebun teh ini merupakan tempat mata pencaharian penduduk di sekitar pagerhajo kemudian warga mempunyai ide untuk menjadikannya sebagai tempat wisata dengan pesona alamnya kebun teh nglinggo menjadi objek wisata yang cukup terkenal di kulon progo
57,Pantai Nglambor,4.4,Pantai,10000,-81.827.028,1.106.792.399,pantai nglambor adalah sebuah pantai eksotis yang terletak di kelurahan purwodadi kecamatan tepus gunung kidul daerah istimewa yogyakarta lokasinya persis di sebelah barat dari pantai siung dan sebelah timur dari pantai jogan jaraknya kurang lebih km dari pusat kota jogja pantai ini menawarkan panorama pantai yang indah
58,Air Terjun Kedung Pedut,4.5,Alam,3000,-77.699.875,1.101.210.707,air terjun kedung pedut atau biasa disebut curug kedung pedut berasal dari istilah bahasa jawa curug yang berarti air terjun kedung berarti kubangan atau kolam dan pedut berarti kabut air terjun kedung pedut merupakan salah satu wisata alam yang di kulonprogo yang dikenal karena keindahan warna airnya
59,Pantai Ngandong,4.5,Pantai,10000,-8.146.423,1.106.061.408,pantai ini memiliki garis pantai yang panjang dengan pasir putih yang bersih dan lembut ada bebatuan di pinggir pantai yang bisa dimanfaatkan oleh pengunjung untuk bermain air permainan air disini selain berenang juga tersedia fasilitas kano pemandangan unik yang dapat dilihat di pantai ini adalah adanya pulau yang berada di tengah laut saat sedang surut pulau itu bisa dicapai dengan jalan kaki
60,Pantai Sepanjang,4.4,Pantai,10000,-81.366.656,1.105.659.962,siapa sangka ternyata yogyakarta pun punya “kuta” nya sendiri ialah pantai sepanjang salah satu pantai di kabuaten gunungkidul daerah yang satu ini memang memiliki koleksi pantai cantik yang tak terhitung jumlahnya bahkan pantai ini digadang gadang sebagai ‘kuta tempo doeloe‘
61,Candi Sewu,4.6,Budaya Dan Sejarah,10000,-77.439.217,1.104.929.095,candi sewu adalah candi buddha yang dibangun pada abad ke masehi yang berjarak hanya delapan ratus meter di sebelah utara candi prambanan candi sewu merupakan kompleks candi buddha terbesar kedua setelah candi borobudur di jawa tengah candi sewu berusia lebih tua daripada candi borobudur dan prambanan meskipun aslinya memiliki candi oleh masyarakat setempat candi ini dinamakan sewu yang berarti seribu dalam bahasa jawa penamaan ini berdasarkan kisah legenda loro jonggrang
62,Gunung Api Purba Nglanggeran,4.6,Alam,15000,-78.427.585,1.105.379.165,kawasan ekosistem gunung purba nglanggeran atau yang biasa disebut gunung nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih meter dengan tinggi mencapai meter di kawasan gunung api purba nglanggeran juga dijumpai fauna dan flora langka seperti tanaman tremas tanaman obat yang hanya hidup dikawasan ekowisata gunung api purba kera ekor panjang
63,Galaxy Waterpark,4.3,Wisata Air,35000,-78.159.633,1.104.136.917,galaxy waterpark cocok sebagai opsi untuk berlibur bersama keluarga apalagi untuk anak anak disini disediakan bermacam wahana seperti kolam arus flying fox wahana water slide kolam olimpic yang didesain dengan standar internasional untuk para atlet dewasa renang
64,Pemecah Ombak Pantai Glagah,4.4,Buatan,5000,-79.190.028,1.100.775.951,pemecah gelombang merupakan atraksi wisata utama yang ada di pantai glagah banyak pengunjung datang ke pantai ini untuk melihat secara langsung seperti apa pemecah gelombang itu ada dua pemecah gelombang di kawasan pantai glagah ini pemecah gelombang yang banyak dikunjungi wisatawan ada di sisi barat yang satu bagian dengan kawasan pantai pasir glagah pemecah gelombang sisi timur bisa dijangkau melalui dermaga adikarta
65,Pantai Timang,4.5,Pantai,5000,-81.759.266,1.106.624.196,begitu memasuki wilayah pantai pengunjung akan disambut dengan indahnya perpaduan warna alam air di bibir pantai yang berwarna hijau toska dan semakin berwarna biru ke tengah laut tidak perlu ditanya lagi tentu airnya begitu jernih dan bersih selain itu terdapat pula perbukitan yang ditumbuhi banyak pohon begitu menyejukkan dipandang mata batu – batu karang yang besar membentang dengan gagahnya siap menghadang besarnya ombak yang menghantam pantai yang paling khas dari pantai ini adalah keberadaan gondola untuk menyeberang menuju pulau timang gondola ini membentang dari pantai menuju ke pulau timang yang berupa batu karang gondola ini terbuat dari kayu sederhana dengan tali tambang yang ditarik manual wahana lain yang juga memacu adrenalin adalah jembatan gantung jembatan ini juga menghubungkan area pinggir pantai dengan pulau timang dimana jembatan ini menjadi alternatif bagi pengunjung yang ingin menyeberang selain menggunakan gondola
66,Museum HM Soeharto,4.4,Museum,0,-77.913.177,1.102.805.284,museum soeharto adalah adalah bangunan berbudaya dan sejarah berbentuk museum yang menyimpan memoar dan peninggalan peninggalan jenderal besar tni soeharto yang diresmikan pada tahun museum ini berdiri di atas tanah milik soeharto yang terletak di dusun kemusuk lor desa argomulyo kecamatan sedayu kabupaten bantul daerah istimewa yogyakarta di dalam memorial ini terdapat sebuah bangunan joglo besar di pusat lokasi rumah kakek buyut pak harto yaitu notosudiro terdapat juga barang barang peninggalan diorama budaya dan sejarah kehidupan pak harto dokumen arsip nasional video dan beberapa foto yang berkaitan dengan budaya dan sejarah pak harto
67,Bukit Lintang Sewu,4.5,Alam,3000,-79.157.997,1.104.366.436,bukit lintang sewu merupakan salah satu tempat wisata alam yang berhawa sejuk di yogyakarta keunggulan lainnya adalah lingkungannya menawarkan panorama yang indah dari bukit ini dapat melihat pemandangan lampu kota atau melihat bintang di malam hari bukit lintang sewu juga punya banyak fasilitas liburan seperti area glamping camping outbound dan hutan kayu putih
68,Grand Puri Waterpark,4.2,Wisata Air,35000,-78.777.662,110.352.078,grand puri waterpark yogya berlokasi di daerah bantul salah satu waterpark terbesar di kabupaten bantul tempat rekreasi keluarga yang menyediakan atraksi dan wahana seru dan bisa dimainkan baik untuk anak anak maupun orang dewasa terdapat kolam seni olympic kolam arus kolam penerima dan kolam batita disana juga terdapat berbagai fasilitas foodcourt freewifi gazebo atm dan masih banyak lagi
69,Balong Waterpark,4.2,Wisata Air,20000,-78.434.924,1.104.103.899,“full of splash and fun” itulah slogan yang diusung oleh balong waterpark di dalam waterpark ini akan kita temukan dua buah kolam utama yang diperuntukkan untuk balita dan orang dewasa selain itu berbagai wahana permainan semacam ember tumbah water coaster hingga family slide juga tersedia untuk dinikmati suasana di dalam lokasi cukup sejuk dan bersih berbagai fasilitas umum juga sudah disiapkan untuk memberi kenyamanan bagi para pengunjung waterpark ini sangat recomended sebagai tujuan rekreasi akhir pekan bersama keluarga anak anak bisa bermain sepuasnya orang dewasa juga bisa bersantai dengan nyamannya
70,Kids Fun Park (Pusat),4.4,Buatan,10000,-7.827.611.573,1.104.413.491,kids fun merupakan wahana atau tempat bermain untuk anak anak
71,Pantai Kesirat,4.6,Pantai,5000,-80.961.535,1.104.350.483,pantai kesirat dapat dijadikan area untuk perkemahan letaknya yang jauh dari keramaian bisa membuat pengunjung jadi lebih nyaman dan menikmati momen kebersamaan ketika berlibur dengan keluarga teman atau kerabat disana fasilitas warung makan dan kamar mandi tetap beroperasi selama jam yang menjadi keunggulan dari pantai kesirat adalah letaknya yang dikelilingi tebing tebing ini merupakan tempat favorit untuk memancing ikan atau sekadar duduk duduk menikmati hembusan angin di pantai
72,Stonehenge Merapi,4.3,Buatan,5000,-76.022.481,1.104.479.012,wisata baru ini baru ngehits di jogja tepatnya di kepuharjo cangkringan sleman kamu bakal menemui replika stonehenge peninggalan jaman prabudaya dan sejarah berupa susunan batu batu besar yang tidak beraturan yang aslinya terletak di inggris bentuk dan susunan batu di stonehenge cangkringan mirip dengan aslinya lengkap dengan alas rumput hijaunya masuk dan duduk di bagian dalam lingkaran tersebut akan jadi pengalaman yang berbeda
73,CitraGrand Mutiara Waterpark Yogyakarta,4.3,Wisata Air,80000,-78.137.343,1.102.831.838,waterpark ini menjadi salah satu objek wisata air favorit untuk keluarga mengusung tema treasure adventure citragrand mutiara waterpark yogya menghadirkan berbagai wahana permainan air yang akan membawa pengunjung seolah berpetualang bersama bajak laut
74,Wisata Telaga Potorono,4.4,Buatan,0,-78.300.074,1.104.204.773,selain diperuntukkan sebagai telaga telaga desa potorono juga dimanfaatkan sebagai tempat wisata alternatif yang menarik telaga desa potorono menawarkan pemandangan yang indah dengan udara yang sejuk di sekitar telaga terdapat enam buah gazebo gubuk yang dapat dimanfaatkan sebagai tempat berteduh
75,Desa Wisata Pulesari,4.4,Desa Wisata,50000,-76.258.806,110.371.698,suasana khas pedesaan akan segera menyambut para wisatawan saat menjejakan kaki pertama kali di desa yang masuk dalam kabupaten sleman ini sungai berair jernih perkebunan salak yang tertata rapi dan sapaan ramah dari warga menjadi pemandangan lumrah di desa ini
76,Wisata Alam Watu Amben,4.4,Alam,0,-78.576.729,1.104.727.388,watu amben jogja merupakan sebuah wisata alam dimana kamu bisa menikmati lampu kota yogyakarta di malam hari salah satu wisata alam unik dari jogja adalah watu amben jogja objek wisata ini tidak hanya memiliki unsur alam namun juga unsur buatan objek wisata ini termasuk ke dalam komplek perbukitan bukit bintang gunung kidul dari atas bukit ini kamu bisa melihat indahnya pemandangan alam dan pemandangan kota jogja apalagi kalau dinikmati pada malam hari kamu bisa melihat kelap kelip lampu kota jogja tempat ini pun menjadi pilihan tempat nongkrong asyk bagi para masyarakat jogja khususnya para anak muda ya karena selain menikmati pemandangan kamu juga bisa menikmati hidangan lezat khas jogja
77,Candi Sojiwan,4.5,Budaya Dan Sejarah,5000,-77.603.952,1.104.962.014,candi sojiwan memiliki keunikan keunikan ini berasal dari beberapa panel relief yang bercerita tentang cerita cerita binatang jika dipahami lebih dalam cerita cerita ini menyampaikan pesan pesan moral yang tidak lekang oleh waktu pesan pesan moral ini juga sangat berguna untuk menjalani kehidupan sehari hari setelah dilakukan penelitian terdapat beberapa temuan menarik salah satunya adalah parit keliling parit keliling ini sebagian berada di pemukiman warga di dalam parit kelagian ditemukan arca pondasi candi struktur pagar batu candi lepas struktur dan batu candi di sekitar permukiman warga yang berada di sebelah selatan candi induk candi sojiwan berada di kawasan siwa plateu yang banyak terdapat candi baik candi berlatar belakang agama hindu maupun budha hal ini menunjukkan bahwa sejak dulu nenek moyang kita telah hidup harmonis dan sangat toleran nilai nilai toleransi ini sangat dibutuhkan masyarakat indonesia sekarang ini mengingat kita berbeda beda keyakinan
78,Goa Selarong,4.3,Alam,6000,-7.860.965.268,1.103.145.237,gua selarong atau bisa disebut gua diponegoro adalah gua berbudaya dan sejarah sekaligus tempat wisata alam dan religius goa selarong merupakan sebuah goa kecil yang berada di dusun kembangputihan kecamatan pajangan bantul lokasinya cukup mudah dijangkau karena tak jauh dari kota bantul diy di goa selarong terdapat dua goa yaitu goa kakung dan goa p sekilas tak ada tampilan yang menarik secara visual dari kedua goa tersebut namun goa itu menyimpan peristiwa besar yang menjadi bagian dari budaya dan sejarah bangsa indonesia terutama kisah kepahlawanan pangeran diponegoro yang menjadi tokoh besar saat meletusnya perang jawa pada utri
79,Waduk Sermo,4.5,Buatan,5000,-7.821.219.329,1.101.149.803,waduk sermo merupakan sebuah waduk yang berada di kabupaten kulon progo daerah istimewa yogyakarta waduk seluas hektar ini dibangun mulai pada tahun dan diresmikan oleh presiden indonesia ke saat itu yaitu presiden soeharto pada november waduk ini dibangun dengan membendung kali ngrancah di desa hargowilis kecamatan kokap adanya pembangunan waduk ini juga mengahruskan pemerintah melakukan program transmigrasi sebanyak kk di transmigrasikan ke tak toi bengkulu ada banyak hal yang bisa sobat semua lakukan di tempat ini yang pertama yaitu berfoto di spot foto menarik terdapat berbagai macam spot foto menarik yang bisa dimanfaatkan pengunjung di tempat ini selanjutnya bagi sobat semua yang hobi memancing ikan tak ada salahnya mencoba memburu ikan “setan merah” yaitu ikan predator yang ada di waduk ini ikan merah merupakan primadona dikalangan pemancing di waduk sermo ini
80,Pantai Glagah,4.4,Pantai,6000,-79.119.427,1.100.647.339,pantai glagah indah adalah salah satu pantai yang menjadi objek wisata di provinsi daerah istimewa yogyakarta pantai glagah indah merupakan salah satu pantai di yogyakarta dengan hamparan pasir yang berwarna hitam dan banyak mengandung pasir besi pantai glagah indah memiliki akses yang baik pantai glagah dikenal sebagai salah satu pantai di jogja yang memiliki ombak cukup besar oleh sebab itu di kawasan pantai pun dibangun tetrapod
81,Grojogan Watu Purbo Bangunrejo,4.5,Alam,5000,-76.340.196,1.103.383.881,tempat ini menjanjikan spot foto selfi yang begitu menarik dan aliran sungai serta taman bunga yang indah pun wisatawan dapat menikmati kuliner pedesaan yang menggugah selera dengan dilatarbelakangi birunya gunung merapi destinasi yang masih terhitung baru ini sebenarnya adalah aliran sungai kali krasak yang berhulu di gunung merapi aliranya terbentuk dari buah sabo dam yang tersusun bertingkat dengan ketinggian sampai meter sehingga tercipta air terjun atau dalam bahasa jawa disebut grojogan
82,Kebun Buah Mangunan,4.5,Agrowisata,6000,-7.939.896,110.424.336,kebun buah mangunan adalah salah satu tempat wisata di kawasan mangunan dlingo kabupaten bantul yogyakarta kawasan wisata yang terkenal sebagai salah satu spot negeri di atas awan ini terletak sekitar kilometer km dari kota yogyakarta dengan waktu tempuh kurang lebih satu jam perjalanan kebun buah mangunan bisa jadi alternatif tempat wisata bersama keluarga di akhir pekan
83,Pantai Ngrenehan,4.4,Pantai,5000,-81.211.475,1.105.142.337,pantai ngrenehan merupakan pantai nelayan terletak di desa kanigoro kecamatan saptosari kurang lebih km di sebelah selatan kota wonosari suatu pantai berupa teluk yang dikelilingi hamparan perbukitan kapur dan memiliki panorama yang sangat memukau dengan deburan ombak menerpa pasir putih pantai ini diapit oleh dua bukit karang yang cukup besar dan menjorok ke laut di pantai ini pengunjung dapat mengamati langsung kegiatan nelayan tradisional juga bisa menikmati ikan segar yang baru saja diangkat dari kedalaman laut selatan
84,Tirtonirmolo Water Park Galuh,4.2,Wisata Air,30000,-7.748.672,110.501.128,tirtonirmolo water park galuh merupakan gabungan dari hotel galuh yang berada di sisi selatan tirtonirmolo water park galuh wisatawan dapat menikmati berbagai wahana di sekitar tirtonirmolo water park bukan hanya air saja disini juga terdapat kolam yaitu kolam renang dewasa kolam renang seluncur anak anak mandi bola kolam keluarga kolam arus kolam ember tumpah kolam renang songsong gora kolam renang laba laba kuda laut dan kolam air mancur wisata ini cocok didatangi bersama keluarga maupun teman
85,Affandi Museum,4.6,Budaya Dan Sejarah,30000,-7.782.713,110.396.397,museum affandi merupakan salah satu museum seni di daerah istimewa yogyakarta indonesia museum yang berada di tepi sungai gajah wong ini menyimpan berbagai macam lukisan karya affandi selain itu museum ini juga menyimpan banyak benda peninggalan affandi lainnya seperti mobil sepeda onthel dan masih banyak lagi ada lebih dari lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti sudjojono hendra gunawan dan barli jangan lupa untuk mengambil foto rumah affandi yang ikonis dengan atap yang berbentuk pelepah pisang
86,Museum Monumen Pangeran Diponegoro,4.4,Budaya Dan Sejarah,2000,-77.865.891,1.103.514.473,museum monumen pangeran diponegoro adalah museum sekaligus monumen kediaman pangeran ketika dikepung oleh pihak belanda museum ini berisi berbagai peninggalan pangeran diponegoro di museum ini juga terdapat pendapa dan pringgitan yng didalamnya berisi benda benda berbudaya dan sejarah benda berbudaya dan sejarah tersebut berupa berbagai jenis senjata tradisional seperti keris tombak pedang panah dan masih banyak lagi senjata yang dikoleksi di dalam museum ini i museum monument pangeran diponegoro ini juga terdapat dinding yang berlubang yang menjadi jalan keluar pangeran diponegoro untuk bisa lolos dari kepungan penjajah belanda di museum ini juga terdapat barang peninggalan milik sri sultan hamengku buwono ii yaitu ketipung dan wilahan bonang penembung yang terbuat dari kayu dan perunggu yang berwarna merah dan kuning barang peninggalan sri sultan hb ii yang ada mencapai lebih dari buah disana juga terdapat dua senjata meriam yang terletak di depan dan disebelah timur pendopo serta ada berbagai macam peralatan rumah tangga seperti tempat menaruh siri canting teko dan bokor
87,Puncak Kebun Buah Mangunan,4.6,Agrowisata,8000,-79.413.718,1.104.247.345,objek wisata ini menawarkan keindahan berupa panorama alam dataran tinggi yang hijau dan masih sangat alami selain itu dari sana kamu juga bisa menikmati landscape kota bantul dengan segala rutinitas penduduknya landscape yang sangat cantik dan mempesona dari kawasan wisata ini kamu juga bisa menyaksikan gagahnya gunung sewu yang berada di seberang beberapa tanaman yang bisa kamu amati dan pelajari yakni pohon rambutan durian manggis jeruk mangga pohon pinus king grass atau rumput raja salak magium duku sawo cempedak jambu biji dan masih banyak yang lainnya disana wisatawan dapat berburu aneka buah buahan camping melihat watu tumpang yaitu batu besar yang menumpang di atas batu kecil memancing bersepeda berenang belajar pembibitan sapi flying fox
88,Lava Tour Merapi,4.6,Alam,350000,-75.934.503,1.104.316.004,lava tour merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di yogyakarta lava tour merapi adalah istilah untuk tur wisata kawasan terdampak erupsi gunung merapi tahun tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi ada berbagai macam paket yang disediakan
89,Museum Sonobudoyo Unit I,4.6,Budaya Dan Sejarah,3000,-78.024.499,1.103.639.555,useum sonobudoyo unit pertama yang ada di dekat alun alun keraton yogyakarta yang memiliki bentuk seperti bangunan rumah joglo dengan gaya masjid keraton kasepuhan cirebon di museum ini terdapat koleksi alat musik seperti replika andong wayang rama sinta dan juga lesmana anoman hingga rahwana kemudian koleksi keris koleksi batik dan koleksi buku kebudayaan
90,Museum Factory Dan Kedai Chocolate Monggo,4.6,Agrowisata,15000,-78.408.737,110.298.431,disini wisatawan dapat belajar mengenai budaya dan sejarah cokelat melihat langsung pembuatan cokelat di pabrik dan langsung bisa mempraktekkan membuat cokelat cokelat monggo ini dibuat dari warga negara belgia yang terinspirasi karena rasa rindunya akan rasa cokelat belgia
91,Kawasan Pantai Baron,4.4,Alam,10000,-81.288.246,1.105.487.763,objek wisata pantai baron merupakan pantai yang membentuk cekungan seperti pantai lainnya di pantai baron tersedia aneka ikan laut beserta olahannya ikan yang biasanya dijual di pantai baron adalah udang windu kakap bawal putih dan tongkol pantai baron memiliki fasilitas berupa tempat pelelangan ikan wahana permainan anak anak perahu bermesin dan toko cenderamata buah sirkaya pisang tanduk sirsak dan berbagai macam cenderamata yang terbuat dari kerang laut
92,Kids Fun Galleria Mall,4.4,Buatan,60000,-77.823.797,1.103.791.605,kids fun cabang galeria mall menawarkan tema wild wild west yang membawa kita ke dunia barat dimana kaum koboi dan indian bertemu tidak hanya sekedar nama desain interiornya pun disesuai dengan tema yang diusung di beberapa bagian diletakkan patung koboi dan indian untuk memperkuat suasana belum lagi area counter yang sekilas mirip bar di film film bertema sejenis
93,Taman Bunga Amarilis,4.2,Agrowisata,10000,-78.563.245,1.104.991.167,taman bunga amarlis dapat dikatakan wisata tahunan karena bunga mekar setiap tahun namun jangka mekarnya sangat pendek sehingga pengunjung harus segera datang ketika mekar dan dari tahun ke tahun kondisi taman bunga sudah semakin baik jalan setapak yang sudah rata dengan semen telah disediakan sehingga pengunjung tidak perlu khawatir becek atau kotor karena tanah taman pun telah dibentuk dengan kotak kotak yang membuatnya tampak tertata rapi taman bunga telah dilengkapi dengan jalan setapak yang membantu akses pengunjung lebih dekat dengan bunga jadi angle ketika berfoto lebih terlihat indah taman bunga juga dibentuk sehingga tidak monoton hanya satu lahan seperti sawah
94,Tegaldowo Puspa Gading Park,4.4,Buatan,10000,-78.656.715,1.103.228.654,satu lagi obyek wisata alternatif karya dari warga hadir di kabupaten bantul destinasi baru tersebut telah menjadi viral di media sosial medsos namanya taman puspa gading berlokasi di dusun tegaldowo dukuh grojogan kecamatan bantul bantul diy taman puspa gading berada di pinggiran sungai bedog selain berupa taman untuk berswafoto berlatar belakang hamparan sawah dengan berhiaskan patung kadal raksasa dan jembatan gantung yang membentang di atas sungai taman puspa gading juga memiliki beberapa wahana permainan anak diantaranya kolam renang mandi bola terapi ikan foto dengan badut kelinci motor apv menangkap ikan dan wahana melukis
95,Bendungan Kamijoro,4.3,Buatan,0,-78.787.758,1.102.662.888,bendungan kamijoro adalah bendungan yang menahan aliran sungai progo dan mengalirkan sebagian airnya untuk pengairan areal persawahan tapi bendungan kamijoro bukan sembarang bendungan di atas bendungan ini terbentang jembatan sepanjang meter dengan lebar meter jembatan bendungan kamijoro menghubungkan bantul dan kulon progo tepatnya di dusun plambongan desa triwidadi kecamatan pajangan kabupaten bantul dengan dusun kaliwiru desa tuksono kecamatan sentolo kulon progo tanpa jembatan itu orang harus memutar sangat jauh jembatan ini menjadi landscape baru untuk bantul dan kulon progo bentuknya mirip jembatan ampera di palembang lengkap dengan tiang yang menjulang tinggi dan hiasan tali tali baja yang seolah menyangga beban jembatan bendungan ini jadi salah satu daya tarik wisata sekaligus mampu menggerakkan ekonomi mikro masyarakat di sekitarnya karena banyak yang berkunjung ke sana masyarakat setempat memanfaatkan kesempatan itu untuk berjualan aneka jajanan dan makanan bendungan kamijoro diresmikan langsung oleh presiden joko widodo pada akhir lalu dan hingga kini jadi salah satu magnet wisata di kulon progo dan bantul selain jembatan yang cantik ada juga taman bendungan kamijoro yang bisa jadi pilihan tempat untuk bersantai duduk dan menikmati hembusan angin bendungan yang semilir taman ini berada di sisi barat atau masuk wilayah kulon progo terdapat taman dari sini kita bisa berfoto dengan background jembatan sekaligus bendungan yang megah sedang di sisi timur atau masuk wilayah bantul terdapat sebuah sistem pengairan yang tertata canggih dan modern terdapat beberapa pintu pintu air dengan kontrol elektrik di area taman terdapat plaza yang besar untuk berfoto foto bersantai ataupun berkumpul mengadakan kegiatan massal salah satu spot foto yang jadi favorit pengunjung adalah di bagian undakan tertinggi plaza dengan latar belakang tulisan “bendungan kamijoro ” jika kamu ingin berkunjung ke sini membawa keluarga tak perlu khawatir bendungan kamijoro sangat ramah keluarga tak jauh dari taman terdapat aneka mainan anak anak seperti ayunan jungkat jungkit hingga papan luncur taman juga dikemas sebagai wisata edukasi bagi keluarga dengan ditanam banyak jenis buah buahan seperti durian kelengkeng sawo hingga jambu kristal area taman sudah dibangun untuk pedestrian sehingga sangat nyaman untuk berjalan kaki
96,Goa Kiskendo,4.3,Alam,5000,-77.471.047,1.101.310.147,goa beserta kisah kisah yang menyertainya menjadi daya tarik terbesar obyek wisata ini goa konon sudah ditemukan abad silam para leluhur terdahulu memanfaatkan untuk mencari ketenangan batin dan pencerahan lewat bertapa goa itu sepanjang kilometer goa di dalam bumi bukit menoreh ada dua percabangan besar di dalamnya dan mengarahkan pengunjung pada bekas tempat banyak orang di masa lalu dalam melakoni pertapaan
